Comparison,Group 1,Group 2,Reaction ID,Reaction name,Subsystem,D,p-value,q-value (BH),Median Egg,Median L1,Delta median,Pooled range,Relative delta,Rank D,Rank relative delta,Combined score,Higher median in,Shown in Fig. 5,Equation,Median L2,Median L3,Median L4,Median L4f,Median Af,Median L4m,Median Am
L1 vs L2,L1,L2,MAR09253,ADPribose 2'-phosphate exchange,Exchange/demand reactions,0.668,6.144061936918964e-212,1.0216289034644327e-211,,-0.323626,0.399274,2.657925,0.1502,85,102,187,L2,,adenine[e] <=> ,0.075648,,,,,,
L1 vs L2,L1,L2,MAR05303,,Extracellular transport,0.339,2.601190983860239e-51,3.024148867414749e-51,,-0.433628,0.16048,0.580546,0.2764,122,66,188,L2,,ATP[c] <=> ATP[e],-0.273147,,,,,,
L1 vs L2,L1,L2,MAR00569,Exchange of ATP,Exchange/demand reactions,0.339,2.601190983860239e-51,3.0489369728853625e-51,,-0.433628,0.16048,0.580546,0.2764,122,67,189,L2,,ATP[e] <=> ,-0.273147,,,,,,
L1 vs L2,L1,L2,MAR06328,ATP:ADP phosphatransferase,Mitochondrial transport,0.373,2.661665844969578e-62,3.1984724019382326e-62,,21.70632,-480.074626,1999.376479,0.2401,119,71,190,L1,,ADP[c] + ATP[m] <=> ADP[m] + ATP[c],-458.368307,,,,,,
L1 vs L2,L1,L2,MAR08619,Ascorbic acid oxidase,Ascorbate and aldarate metabolism,0.711,1.4576027847307439e-243,2.638445547044258e-243,,2.396125,-2.052302,19.771608,0.1038,78,118,196,L1,,ascorbate[c] + 2 H+[c] + 2 O2-[c] => dehydroascorbic acid[c] + 2 H2O2[c],0.343823,,,,,,
L1 vs L2,L1,L2,MAR06396,Dehydroascorbate reductase,Ascorbate and aldarate metabolism,0.711,1.4576027847307439e-243,2.672271772006364e-243,,2.396125,-2.052302,19.771608,0.1038,78,119,197,L1,,dehydroascorbic acid[c] + H+[c] + NADPH[c] => ascorbate[c] + NADP+[c],0.343823,,,,,,
L1 vs L2,L1,L2,MAR04010,adenosine 5'-monophosphate phosphohydrolase,Purine metabolism,0.407,1.8582877929472538e-74,2.2908202964780803e-74,,0.189748,-0.1141,0.589059,0.1937,116,81,197,L1,,AMP[c] + H2O[c] => adenosine[c] + Pi[c],0.075648,,,,,,
L1 vs L2,L1,L2,MAR09952,Hydrolysis of Acetyl-Lysine,Lysine metabolism,0.252,2.730594245482165e-28,3.09900775479325e-28,,-0.097528,0.028095,0.136343,0.2061,124,74,198,L2,,H2O[c] + Acetyl-L-Lysine[c] <=> acetate[c] + lysine[c],-0.069433,,,,,,
L1 vs L2,L1,L2,MAR09072,Phosphate exchange,Exchange/demand reactions,0.392,5.998653083597018e-69,7.331687102174133e-69,,2.303629,-1.56177,8.172374,0.1911,117,82,199,L1,,Pi[e] <=> ,0.741858,,,,,,
L1 vs L2,L1,L2,MAR09996,"Transport of Acetyl-Lysine, Extracellular",Extracellular transport,0.252,2.730594245482165e-28,3.0746061189287367e-28,,0.097528,-0.028095,0.136343,0.2061,124,75,199,L1,,Acetyl-L-Lysine[c] <=> Acetyl-L-Lysine[e],0.069433,,,,,,
L1 vs L2,L1,L2,MAR06366,Deoyguanosine transport via diffusion,Extracellular transport,0.605,9.050350483119254e-171,1.3623159148274245e-170,,0.17775,-0.245675,1.797035,0.1367,94,105,199,L1,,deoxyguanosine[c] <=> deoxyguanosine[e],-0.067925,,,,,,
L1 vs L2,L1,L2,MAR00061,Acetate Mitochondrial Transport via Proton Symport,Mitochondrial transport,0.252,2.730594245482165e-28,3.050585758624606e-28,,-0.097528,0.028095,0.136343,0.2061,124,76,200,L2,,acetate[c] + H+[c] <=> acetate[m] + H+[m],-0.069433,,,,,,
L1 vs L2,L1,L2,MAR09300,Digalactosylceramidesulfate exchange,Exchange/demand reactions,0.605,9.050350483119254e-171,1.348125124047972e-170,,0.17775,-0.245675,1.797035,0.1367,94,106,200,L1,,deoxyguanosine[e] <=> ,-0.067925,,,,,,
L1 vs L2,L1,L2,MAR04603,Deoxyguanosine:orthophosphate ribosyltransferase,Purine metabolism,0.605,9.050350483119254e-171,1.348125124047972e-170,,0.17775,-0.245675,1.797035,0.1367,94,107,201,L1,,2-deoxy-D-ribose-1-phosphate[c] + guanine[c] <=> deoxyguanosine[c] + Pi[c],-0.067925,,,,,,
L1 vs L2,L1,L2,MAR10197,Exchange of Acetyl-Lysine,Exchange/demand reactions,0.252,2.730594245482165e-28,3.050585758624606e-28,,0.097528,-0.028095,0.136343,0.2061,124,77,201,L1,,Acetyl-L-Lysine[e] <=> ,0.069433,,,,,,
L1 vs L2,L1,L2,MAR05126,L proline transport  mitochondrial,Mitochondrial transport,0.622,2.5872247709377997e-181,4.065638925759399e-181,,0.080425,-0.023678,0.177657,0.1333,91,111,202,L1,,proline[m] + H+[i] => H+[m] + proline[c],0.056747,,,,,,
L1 vs L2,L1,L2,ASCTm,Acetate:succinate CoA-transferase,,0.252,2.730594245482165e-28,3.050585758624606e-28,,0.097528,-0.028095,0.136343,0.2061,124,78,202,L1,,succinate[m] + acetyl-CoA[m] => succinyl-CoA[m] + acetate[m],0.069433,,,,,,
L1 vs L2,L1,L2,MAR04888,H2O transport  mitochondrial,Mitochondrial transport,0.468,2.6052708465525705e-99,3.3868521005183414e-99,,-18.896147,329.402897,1975.818701,0.1667,110,96,206,L2,,H2O[c] <=> H2O[m],310.50675,,,,,,
L1 vs L2,L1,L2,MAR13080,Htmi,Mitochondrial transport,0.612,4.610397153553822e-175,7.166160793023876e-175,,19.89994,-13.934626,126.679074,0.11,92,117,209,L1,,H+[i] => H+[m],5.965314,,,,,,
L1 vs L2,L1,L2,MAR04408,(S)-malate hydro-lyase (fumarate-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.453,7.941083403595438e-93,1.0230404745172499e-92,,-0.352495,-311.862473,1971.335962,0.1582,111,98,209,L1,,fumarate[c] + H2O[c] <=> malate[c],-312.214967,,,,,,
L1 vs L2,L1,L2,MAR04855,Fumarate/malate antiporter (mitochondrial),Mitochondrial transport,0.453,7.941083403595438e-93,1.0139061845662032e-92,,1.619916,311.553143,1970.717265,0.1581,111,99,210,L2,,fumarate[c] + malate[m] <=> fumarate[m] + malate[c],313.173059,,,,,,
L1 vs L2,L1,L2,MAR04410,(S)-malate hydro-lyase (fumarate-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.45,1.469142113147104e-91,1.8591798423012026e-91,,9.032349,304.665384,1970.583675,0.1546,113,100,213,L2,,fumarate[m] + H2O[m] <=> malate[m],313.697733,,,,,,
L1 vs L2,L1,L2,MAR03137,(S)-3-hydroxydodecanoyl-CoA:NAD+ oxidoreductase,Beta oxidation of even-chain fatty acids (mitochondrial),0.494,3.817701049123875e-111,5.0549189817103176e-111,,0.088503,-0.033469,0.246601,0.1357,106,108,214,L1,,(S)-3-hydroxydodecanoyl-CoA[m] + NAD+[m] => 3-oxododecanoyl-CoA[m] + H+[m] + NADH[m],0.055034,,,,,,
L1 vs L2,L1,L2,MAR03136,(S)-3-Hydroxydodecanoyl-CoA hydro-lyase,Beta oxidation of even-chain fatty acids (mitochondrial),0.494,3.817701049123875e-111,5.0549189817103176e-111,,0.088503,-0.033469,0.246601,0.1357,106,109,215,L1,,(2E)-dodecenoyl-CoA[m] + H2O[m] => (S)-3-hydroxydodecanoyl-CoA[m],0.055034,,,,,,
L1 vs L2,L1,L2,MAR03139,Decanoyl-CoA:acetyl-CoA C-acyltransferase,Beta oxidation of even-chain fatty acids (mitochondrial),0.494,3.817701049123875e-111,5.0549189817103176e-111,,0.088503,-0.033469,0.246601,0.1357,106,110,216,L1,,3-oxododecanoyl-CoA[m] + CoA[m] => acetyl-CoA[m] + decanoyl-CoA[m],0.055034,,,,,,
L1 vs L2,L1,L2,MAR03899,L-Alanine:2-oxoglutarate aminotransferase,"Alanine, aspartate and glutamate metabolism",0.531,2.48798274060552e-129,3.522589424817717e-129,,-0.0574,-0.021066,0.177657,0.1186,101,116,217,L1,,AKG[c] + alanine[c] <=> glutamate[c] + pyruvate[c],-0.078466,,,,,,
L1 vs L2,L1,L2,MAR00148,Stearoyl Coenzyme A Desaturase (N-C18:0CoA -> N-C18:1CoA),Fatty acid biosynthesis,0.547,1.0573141119469924e-137,1.5428154898818357e-137,,1.267791,-0.821491,8.325914,0.0987,98,120,218,L1,,H+[c] + NADH[c] + O2[c] + stearoyl-CoA[c] => (2E)-octadecenoyl-CoA[c] + 2 H2O[c] + NAD+[c],0.4463,,,,,,
L1 vs L2,L1,L2,MAR02194,octadecanoyl-CoA:NADP+ trans-2-oxidoreductase,Fatty acid elongation (even-chain),0.547,1.0573141119469924e-137,1.5272314950345444e-137,,1.267791,-0.821491,8.325914,0.0987,98,121,219,L1,,(2E)-octadecenoyl-CoA[c] + H+[c] + NADPH[c] => NADP+[c] + stearoyl-CoA[c],0.4463,,,,,,
L1 vs L2,L1,L2,MAR04141,(S)-malate:NAD+ oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.595,9.403763044852646e-165,1.3863279540349775e-164,,-0.867979,0.973145,15.586312,0.0624,97,125,222,L2,,H+[m] + NADH[m] + OAA[m] <=> malate[m] + NAD+[m],0.105166,,,,,,
L1 vs L2,L1,L2,MAR08486,adenosine:phosphate alpha-D-ribosyltransferase,Nucleotide metabolism,0.533,2.3252258311106352e-130,3.3250729384882085e-130,,-0.051887,0.127535,2.824633,0.0452,100,129,229,L2,,adenosine[c] + Pi[c] <=> adenine[c] + ribose-1-phosphate[c],0.075648,,,,,,
L1 vs L2,L1,L2,MAR04874,Transport of NH3 (c to m),Mitochondrial transport,0.349,2.003917427580001e-54,2.3682660507763651e-54,,0.080425,0.026486,0.2123,0.1248,121,112,233,L2,,NH3[c] <=> NH3[m],0.106911,,,,,,
L1 vs L2,L1,L2,MAR04914,CoA transporter  mitochondrial   irreversible,Mitochondrial transport,0.374,1.2146029729227989e-62,1.4719341112539e-62,,-0.079713,0.0204,0.230955,0.0883,118,123,241,L2,,CoA[c] <=> CoA[m],-0.059313,,,,,,
L1 vs L2,L1,L2,MAR20137,MAR20137,Mitochondrial transport,0.514,8.949959584179312e-121,1.2306194428246555e-120,,-19.198072,19.200975,1994.975746,0.0096,104,138,242,L2,,CTP[c] + GTP[m] <=> CTP[m] + GTP[c],0.002903,,,,,,
L1 vs L2,L1,L2,MAR20152,MAR20152,Mitochondrial transport,0.245,9.520860663442335e-27,1.0554132363350804e-26,,9.192991,233.058457,1955.184638,0.1192,129,115,244,L2,,CDP[c] + UTP[m] <=> CDP[m] + UTP[c],242.251448,,,,,,
L1 vs L2,L1,L2,MAR02626,palmitoyl-CoA:L-carnitine O-palmitoyltransferase,Carnitine shuttle (cytosolic),0.507,2.3731348927723294e-117,3.2319837111089816e-117,,-9.85733,9.912361,1993.231568,0.005,105,143,248,L2,,CoA[c] + L-palmitoylcarnitine[c] <=> L-carnitine[c] + palmitoyl-CoA[c],0.055031,,,,,,
L1 vs L2,L1,L2,MAR02187,Trans-Dec-2-Enoyl Coenzyme A Reductase,Fatty acid oxidation,0.364,2.7948372826899168e-59,3.330514428538817e-59,,0.088503,0.010288,0.248771,0.0414,120,130,250,L2,,decanoyl-CoA[m] + NADP+[m] <=> (2E)-decenoyl-CoA[m] + H+[m] + NADPH[m],0.09879,,,,,,
L1 vs L2,L1,L2,MAR04147,Succinate:CoA ligase (GDP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.424,5.526786377018911e-81,6.932723262400917e-81,,-7.526027,21.983478,1996.940645,0.011,114,136,250,L2,,CoA[m] + GTP[m] + succinate[m] <=> GDP[m] + Pi[m] + succinyl-CoA[m],14.457451,,,,,,
L1 vs L2,L1,L2,MAR04152,Succinate:CoA ligase (ADP-forming),Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.423,1.363976395298948e-80,1.6960749958934747e-80,,-6.690243,21.502484,1996.578614,0.0108,115,137,252,L2,,ADP[m] + Pi[m] + succinyl-CoA[m] <=> ATP[m] + CoA[m] + succinate[m],14.812241,,,,,,
L1 vs L2,L1,L2,MAR04024,ATP:CMP phosphotransferase,Nucleotide metabolism,0.171,3.5127087833331994e-13,3.834483633714867e-13,,-0.923664,-174.318281,1978.720933,0.0881,131,124,255,L1,,ADP[c] + CDP[c] <=> ATP[c] + CMP[c],-175.241944,,,,,,
L1 vs L2,L1,L2,MAR04030,ATP:CDP phosphotransferase,Pyrimidine metabolism,0.203,1.942374946587825e-18,2.1366124412466077e-18,,-9.192991,-101.65044,1936.725896,0.0525,130,128,258,L1,,ADP[m] + CTP[m] <=> ATP[m] + CDP[m],-110.84343,,,,,,
L1 vs L2,L1,L2,MAR09041,L-Lysine exchange,Exchange/demand reactions,0.124,4.068767065404826e-07,4.278188899653603e-07,,-0.127702,0.012453,0.135033,0.0922,136,122,258,L2,,lysine[e] <=> ,-0.11525,,,,,,
L1 vs L2,L1,L2,MAR09828,Transport of Fumarate,Extracellular transport,0.153,1.2581488962359795e-10,1.3426514340428735e-10,,1.029175,-0.192413,3.664009,0.0525,134,126,260,L1,,fumarate[e] <=> fumarate[c],0.836762,,,,,,
L1 vs L2,L1,L2,MAR11400,Exchange of Fumarate,Exchange/demand reactions,0.153,1.2581488962359795e-10,1.3327058678647783e-10,,-1.029175,0.192413,3.664009,0.0525,134,127,261,L2,,fumarate[e] <=> ,-0.836762,,,,,,
L1 vs L2,L1,L2,MAR09108,Exchange of dihydroneopterin,Exchange/demand reactions,0.063,0.0377601401722074,0.0382957449973451,,0.016634,-0.050441,1.332947,0.0378,137,131,268,L1,,dihydroneopterin[e] <=> ,-0.033807,,,,,,
L1 vs L2,L1,L2,MAR02186,"2-Amino-4-Hydroxy-6- (Erythro-1, 2, 3-Trihydroxypropyl) Dihydropteridine Triphosphate Phosphohydrolase (Alkaline Optimum)",Miscellaneous,0.063,0.0377601401722074,0.0385692860330405,,0.016634,-0.050441,1.332947,0.0378,137,132,269,L1,,"3 H2O[e] + 6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin[e] <=> dihydroneopterin[e] + 2 H+[e] + 3 Pi[e]",-0.033807,,,,,,
L1 vs L2,L1,L2,MAR01871,"Exchange of 7, 8-Dihydroneopterin 3-Triphosphate",Exchange/demand reactions,0.063,0.0377601401722074,0.0394138689388735,,-0.016634,0.050441,1.332947,0.0378,137,133,270,L2,,"6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin[e] <=> ",0.033807,,,,,,
L1 vs L2,L1,L2,MAR04008,ATP:UMP phosphotransferase,Pyrimidine metabolism,0.063,0.0377601401722074,0.038846762910976,,26.73742,-72.460856,1993.358231,0.0364,137,134,271,L1,,ADP[c] + UDP[c] <=> ATP[c] + UMP[c],-45.723436,,,,,,
L1 vs L2,L1,L2,MAR08668,Mesaconate--CoA ligase (GDP-forming),C5-branched dibasic acid metabolism,0.165,2.6860351639888324e-12,2.887992695115812e-12,,-19.45682,-16.004521,1996.645564,0.008,132,139,271,L1,,CoA[m] + GTP[m] + mesaconate[m] <=> GDP[m] + mesaconyl-CoA[m] + Pi[m],-35.461341,,,,,,
L1 vs L2,L1,L2,MAR07863,UMP kinase (CTP),Nucleotide metabolism,0.063,0.0377601401722074,0.0385692860330405,,-26.333079,72.055583,1993.519195,0.0361,137,135,272,L2,,CDP[c] + UDP[c] <=> CTP[c] + UMP[c],45.722504,,,,,,
L1 vs L2,L1,L2,MAR08667,"Mesaconate--CoA ligase (ADP-forming), mitochondrial",C5-branched dibasic acid metabolism,0.165,2.6860351639888324e-12,2.887992695115812e-12,,-19.45682,-16.004521,1996.645564,0.008,132,140,272,L1,,ADP[m] + mesaconyl-CoA[m] + Pi[m] <=> ATP[m] + CoA[m] + mesaconate[m],-35.461341,,,,,,
L1 vs L2,L1,L2,MAR09255,Adrenic acid exchange,Exchange/demand reactions,0.049,0.1811645424830326,0.1811645424830326,,0.160638,0.004054,0.581407,0.007,142,141,283,L2,,ADP[e] <=> ,0.164692,,,,,,
L1 vs L2,L1,L2,MAR07781,Adp exchange,Extracellular transport,0.049,0.1811645424830326,0.1811645424830326,,0.160638,0.004054,0.581407,0.007,142,142,284,L2,,ADP[c] => ADP[e],0.164692,,,,,,
L2 vs L3,L2,L3,MAR03899,L-Alanine:2-oxoglutarate aminotransferase,"Alanine, aspartate and glutamate metabolism",1.0,0.0,0.0,,,0.076653,0.082144,0.9332,1,1,2,L3,yes,AKG[c] + alanine[c] <=> glutamate[c] + pyruvate[c],-0.078466,-0.001813,,,,,
L2 vs L3,L2,L3,MAR11430,Oxaloacetate Decarboxylase,Pyruvate metabolism,1.0,0.0,0.0,,,-0.075199,0.08212,0.9157,1,2,3,L2,yes,H+[c] + OAA[c] => CO2[c] + pyruvate[c],0.078466,0.003267,,,,,
L2 vs L3,L2,L3,MAR05320,Glycine transport via sodium symport,Extracellular transport,1.0,0.0,0.0,,,-0.059243,0.066243,0.8943,1,3,4,L2,yes,glycine[e] + Na+[e] => glycine[c] + Na+[c],0.064766,0.005523,,,,,
L2 vs L3,L2,L3,MAR09067,Glycine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.059243,0.066243,0.8943,1,4,5,L3,,glycine[e] <=> ,-0.064766,-0.005523,,,,,
L2 vs L3,L2,L3,MAR09908,Tyrosine Transport by B0At3,Extracellular transport,1.0,0.0,0.0,,,-0.043648,0.051558,0.8466,1,5,6,L2,,chloride[e] + Na+[e] + tyrosine[e] => chloride[c] + Na+[c] + tyrosine[c],0.057562,0.013914,,,,,
L2 vs L3,L2,L3,MAR09103,Exchange of H2S,Exchange/demand reactions,1.0,0.0,0.0,,,0.006925,0.008568,0.8082,1,6,7,L3,,H2S[e] <=> ,-0.012369,-0.005444,,,,,
L2 vs L3,L2,L3,MAR04323,"L-serine hydro-lyase (adding hydrogen sulfide, L-cysteine-forming)",Cysteine and methionine metabolism,1.0,0.0,0.0,,,-0.006925,0.008568,0.8082,1,7,8,L2,yes,H+[c] + H2S[c] + serine[c] => cysteine[c] + H2O[c],0.012369,0.005444,,,,,
L2 vs L3,L2,L3,MAR04990,Transport of H2S (c to e),Extracellular transport,1.0,0.0,0.0,,,0.006925,0.008568,0.8082,1,8,9,L3,,H2S[c] <=> H2S[e],-0.012369,-0.005444,,,,,
L2 vs L3,L2,L3,MAR09064,L-Tyrosine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.014915,0.020548,0.7258,1,9,10,L3,yes,tyrosine[e] <=> ,-0.028828,-0.013914,,,,,
L2 vs L3,L2,L3,MAR09895,Methionine Transport by B0At3,Extracellular transport,1.0,0.0,0.0,,,-0.012944,0.018343,0.7057,1,10,11,L2,,chloride[e] + methionine[e] + Na+[e] => chloride[c] + methionine[c] + Na+[c],0.025553,0.012609,,,,,
L2 vs L3,L2,L3,MAR09042,L-Methionine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.012944,0.018343,0.7057,1,11,12,L3,,methionine[e] <=> ,-0.025553,-0.012609,,,,,
L2 vs L3,L2,L3,MAR06916,ATP phosphohydrolase,Oxidative phosphorylation,1.0,0.0,0.0,,,-2.3224,3.312727,0.7011,1,12,13,L2,,ADP[m] + Pi[m] + 3 H+[i] => ATP[m] + 2 H+[m] + H2O[m],2.538457,0.216057,,,,,
L2 vs L3,L2,L3,MAR09440,L-Valine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,-0.389856,0.558491,0.6981,1,13,14,L2,,UTP[e] <=> ,-0.003609,-0.393465,,,,,
L2 vs L3,L2,L3,MAR04947,,Extracellular transport,1.0,0.0,0.0,,,-0.389856,0.558491,0.6981,1,14,15,L2,,UTP[c] <=> UTP[e],-0.003609,-0.393465,,,,,
L2 vs L3,L2,L3,MAR09904,Serine Transport by B0At3,Extracellular transport,1.0,0.0,0.0,,,-0.032546,0.048499,0.6711,1,15,16,L2,,chloride[e] + Na+[e] + serine[e] => chloride[c] + Na+[c] + serine[c],0.066736,0.03419,,,,,
L2 vs L3,L2,L3,MAR09069,L-Serine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.032546,0.048499,0.6711,1,16,17,L3,,serine[e] <=> ,-0.066736,-0.03419,,,,,
L2 vs L3,L2,L3,MAR09066,L-Arginine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.023994,0.036668,0.6543,1,17,18,L3,,arginine[e] <=> ,-0.050154,-0.026161,,,,,
L2 vs L3,L2,L3,MAR05068,Transport of arginine (e to c),Extracellular transport,1.0,0.0,0.0,,,-0.023994,0.036668,0.6543,1,18,19,L2,,arginine[e] => arginine[c],0.050154,0.026161,,,,,
L2 vs L3,L2,L3,MAR09038,L-Histidine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.008006,0.012466,0.6423,1,19,20,L3,,histidine[e] <=> ,-0.016976,-0.00897,,,,,
L2 vs L3,L2,L3,MAR09046,L-Valine exchange,Exchange/demand reactions,1.0,0.0,0.0,,,0.021042,0.033482,0.6285,1,20,21,L3,,valine[e] <=> ,-0.04537,-0.024328,,,,,
L2 vs L3,L2,L3,MAR09909,Valine Transport by B0At3,Extracellular transport,1.0,0.0,0.0,,,-0.021042,0.033482,0.6285,1,21,22,L2,,chloride[e] + Na+[e] + valine[e] => chloride[c] + Na+[c] + valine[c],0.04537,0.024328,,,,,
L2 vs L3,L2,L3,MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,1.0,0.0,0.0,,,1.207676,1.998751,0.6042,1,23,24,L3,,DHAP[c] <=> D-glyceraldehyde 3-phosphate[c],-0.000909,1.206766,,,,,
L2 vs L3,L2,L3,MAR01922,Exchange of Glycerone Phosphate,Exchange/demand reactions,1.0,0.0,0.0,,,-1.205209,1.995672,0.6039,1,24,25,L2,,DHAP[e] <=> ,-0.001557,-1.206766,,,,,
L2 vs L3,L2,L3,MAR09825,Transport of Dihydroxyacetone Phosphate,Extracellular transport,1.0,0.0,0.0,,,1.205209,1.995672,0.6039,1,25,26,L3,,DHAP[e] <=> DHAP[c],0.001557,1.206766,,,,,
L2 vs L3,L2,L3,MAR10392,"Transport of Oxaloacetate, Proton Symport",Extracellular transport,1.0,0.0,0.0,,,-1.899211,3.164047,0.6002,1,26,27,L2,,H+[c] + OAA[c] <=> H+[e] + OAA[e],2.011106,0.111895,,,,,
L2 vs L3,L2,L3,MAR10438,Exchange of Oxaloacetate,Exchange/demand reactions,1.0,0.0,0.0,,,-1.899211,3.164047,0.6002,1,27,28,L2,,OAA[e] <=> ,2.011106,0.111895,,,,,
L2 vs L3,L2,L3,MAR04922,CO2 transport  diffusion   mitochondrial,Mitochondrial transport,1.0,0.0,0.0,,,-0.640872,1.154646,0.555,1,32,33,L2,,CO2[c] <=> CO2[m],0.651704,0.010832,,,,,
L2 vs L3,L2,L3,MAR04898,O2 transport  diffusion ,Mitochondrial transport,1.0,0.0,0.0,,,-0.962659,1.848588,0.5208,1,33,34,L2,,O2[c] <=> O2[m],1.017571,0.054911,,,,,
L2 vs L3,L2,L3,MAR06914,ferrocytochrome-c:oxygen oxidoreductase,Oxidative phosphorylation,1.0,0.0,0.0,,,-0.960992,1.84692,0.5203,1,34,35,L2,,4 ferrocytochrome C[m] + 8 H+[m] + O2[m] => 4 ferricytochrome C[m] + 2 H2O[m] + 4 H+[i],1.015006,0.054014,,,,,
L2 vs L3,L2,L3,MAR06918,ubiquinol:ferricytochrome-c oxidoreductase,Oxidative phosphorylation,1.0,0.0,0.0,,,-1.921983,3.69384,0.5203,1,35,36,L2,,2 ferricytochrome C[m] + 2 H+[m] + ubiquinol[m] => 2 ferrocytochrome C[m] + ubiquinone[m] + 4 H+[i],2.030012,0.108028,,,,,
L2 vs L3,L2,L3,MAR04652,succinate:quinone oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,1.0,0.0,0.0,,,0.498339,1.057449,0.4713,1,39,40,L3,,fumarate[m] + ubiquinol[m] <=> succinate[m] + ubiquinone[m],-0.601189,-0.10285,,,,,
L2 vs L3,L2,L3,MAR04103,GTP:oxaloacetate carboxy-lyase (adding GTP,Pyruvate metabolism,1.0,0.0,0.0,,,0.433247,1.042241,0.4157,1,53,54,L3,,GTP[m] + OAA[m] <=> CO2[m] + GDP[m] + PEP[m],-0.651704,-0.218458,,,,,
L2 vs L3,L2,L3,MAR06298,,Mitochondrial transport,1.0,0.0,0.0,,,-0.433247,1.042241,0.4157,1,54,55,L2,,cis-aconitate[m] + PEP[c] <=> cis-aconitate[c] + PEP[m],0.651704,0.218458,,,,,
L2 vs L3,L2,L3,MAR09112,Transport of Phosphoenolpyruvate,Extracellular transport,1.0,0.0,0.0,,,0.432454,1.041782,0.4151,1,55,56,L3,,HCO3-[e] + PEP[c] <=> HCO3-[c] + PEP[e],-0.651704,-0.21925,,,,,
L2 vs L3,L2,L3,MAR09858,Exchange of Phosphoenolpyruvate,Exchange/demand reactions,1.0,0.0,0.0,,,0.432454,1.041782,0.4151,1,56,57,L3,,PEP[e] <=> ,-0.651704,-0.21925,,,,,
L2 vs L3,L2,L3,MAR01525,Bicarbonate Transport (HCl/ (Hcl/NaHCO3 Antiport),Extracellular transport,1.0,0.0,0.0,,,-0.432379,1.041707,0.4151,1,57,58,L2,,chloride[c] + H+[c] + HCO3-[e] + Na+[e] <=> chloride[e] + H+[e] + HCO3-[c] + Na+[c],0.651629,0.21925,,,,,
L2 vs L3,L2,L3,MAR04139,(S)-malate:NAD+ oxidoreductase,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,0.999,0.0,0.0,,,1.814613,2.943053,0.6166,37,22,59,L3,,H+[c] + NADH[c] + OAA[c] <=> malate[c] + NAD+[c],-1.931869,-0.117255,,,,,
L2 vs L3,L2,L3,MAR04750,Uroporphyrinogen-III carboxy-lyase,Porphyrin metabolism,0.999,0.0,0.0,,,-0.084178,0.149384,0.5635,37,28,65,L2,,4 H+[c] + uroporphyrinogen III[c] => 4 CO2[c] + coproporphyrinogen III[c],0.084966,0.000788,,,,,
L2 vs L3,L2,L3,MAR04769,,Porphyrin metabolism,0.999,0.0,0.0,,,-0.084178,0.149384,0.5635,37,29,66,L2,,6 H+[c] + uroporphyrin I[c] <=> uroporphyrinogen III[c],0.084966,0.000788,,,,,
L2 vs L3,L2,L3,MAR11928,Assumed Passive Diffusion into Extracellular Space,Extracellular transport,0.999,0.0,0.0,,,0.084178,0.149384,0.5635,37,30,67,L3,,uroporphyrin I[c] <=> uroporphyrin I[e],-0.084966,-0.000788,,,,,
L2 vs L3,L2,L3,MAR11929,Exchange of Uroporphyrin I,Exchange/demand reactions,0.999,0.0,0.0,,,0.084178,0.149384,0.5635,37,31,68,L3,,uroporphyrin I[e] <=> ,-0.084966,-0.000788,,,,,
L2 vs L3,L2,L3,MAR04752,Coproporphyrinogen:oxygen oxidoreductase(decarboxylating),Porphyrin metabolism,0.999,0.0,0.0,,,-0.119553,0.27941,0.4279,37,40,77,L2,,coproporphyrinogen III[c] + 2 H+[c] + O2[c] => 2 CO2[c] + 2 H2O[c] + protoporphyrinogen IX[c],0.120341,0.000788,,,,,
L2 vs L3,L2,L3,MAR11316,Protoporphyrinogen Oxidase (Aerobic),Porphyrin metabolism,0.999,0.0,0.0,,,-0.119553,0.27941,0.4279,37,41,78,L2,,1.5 O2[c] + protoporphyrinogen IX[c] => 3 H2O[c] + protoporphyrin[c],0.120341,0.000788,,,,,
L2 vs L3,L2,L3,MAR09076,Fe2+ exchange,Exchange/demand reactions,0.999,0.0,0.0,,,0.119553,0.27941,0.4279,37,42,79,L3,,Fe2+[e] <=> ,-0.120341,-0.000788,,,,,
