Model,Reaction ID,Reaction name,Subsystem,EC number,Minimum flux,Maximum flux,Flux range width,Range includes zero,Present in both models
Am,MAR09989,"Transport of Cholesta-5, 7-Dien-3Beta-Ol, Diffusion",Extracellular transport,3.1.1.4,-0.0018059192297955,-0.0014447353838364,0.0003611838459591,no,yes
Am,MAR09996,"Transport of Acetyl-Lysine, Extracellular",Extracellular transport,3.1.1.4,0.0914016610101677,0.1230130885196045,0.0316114275094368,no,yes
Am,MAR10023,Transport of biomass (c to e),Extracellular transport,,0.070816890536562,0.0885211131707025,0.0177042226341404,no,yes
Am,MAR10024,Exchange of biomass,Exchange/demand reactions,,0.070816890536562,0.0885211131707025,0.0177042226341404,no,yes
Am,MAR10039,fatty acid pool transport (Cytosol to Peroxisome),Peroxisomal transport,,0.0,0.0,0.0,yes,yes
Am,MAR10040,acyl-CoA pool transport (Cytosol to Peroxisome),Peroxisomal transport,,0.0,0.0,0.0,yes,yes
Am,MAR10046,"1,2-diacylglycerol-LD-PC pool transport(Cytosol to Extracellular)",Extracellular transport,,0.0012383041479223,0.0015478801849029,0.0003095760369805,no,yes
Am,MAR10047,"1,2-diacylglycerol-LD-PC pool exchange",Exchange/demand reactions,,0.0012383041479223,0.0015478801849029,0.0003095760369805,no,yes
Am,MAR10049,CDP-diacylglycerol-CL pool transport(Cytosol to Mitochondria),Mitochondrial transport,,-0.001031979137344,-0.0008255833098752,0.0002063958274688,no,yes
Am,MAR10061,fatty acyl-CoA reduction,Ether lipid metabolism,,0.0,0.0,0.0,yes,yes
Am,MAR10184,Exchange of 3- (4-Hydroxyphenyl)Lactate,Exchange/demand reactions,,-0.666666666666667,0.0,0.666666666666667,yes,no
Am,MAR10188,Exchange of Methyl-Histidine,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR10193,"Exchange of 5, 6-Dihydrouracil",Exchange/demand reactions,,-0.9649138305977378,0.3418518126004236,1.3067656431981614,yes,yes
Am,MAR10195,"Exchange of Cholesta-5, 7-Dien-3Beta-Ol",Exchange/demand reactions,,-0.0018059192297955,-0.0014447353838364,0.0003611838459591,no,yes
Am,MAR10197,Exchange of Acetyl-Lysine,Exchange/demand reactions,,0.0914016610101677,0.1230130885196046,0.0316114275094368,no,yes
Am,MAR10243,Exchange of Methylmalonate,Exchange/demand reactions,,-0.0615065442598024,-0.0457008305050838,0.0158057137547185,no,yes
Am,MAR10250,Exchange of Hexanoate,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR10363,"Transport of Methylmalonate, Antiport with Sulphite",Extracellular transport,,0.0147007248698886,1.3736490940454236,1.3589483691755349,no,no
Am,MAR10364,"Transport of Methylmalonate, Antiport with Sulphate",Extracellular transport,,0.0273262551851242,0.0423774250234632,0.0150511698383389,no,no
Am,MAR10366,"Transport of Methylmalonate, Antiport with Phsophate",Extracellular transport,,-1.4649329511581834,-0.0877278105600968,1.3772051405980863,no,yes
Am,MAR10375,"Transport of Hexanoate, Cytosol",Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR10440,Exchange of Phenyl Lactate,Exchange/demand reactions,,-0.0229682191499495,-0.0183745753199596,0.0045936438299898,no,no
Am,MAR10486,Transport of Glycylproline,Extracellular transport,,-0.036513542845104,-0.0292108342760832,0.0073027085690207,no,no
Am,MAR10489,"Transport of 5,6,7,8-Tetrahydrobiopterin",Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR10496,"Exchange of 5,6,7,8-Tetrahydrobiopterin",Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR11250,Transport of Acetyl Carnitine,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR11256,Transport of Malonyl Carnitine,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR11257,Transport of Butyryl Carnitine,Extracellular transport,1.1.1.62,0.0457008305050838,0.0615065442598023,0.0158057137547184,no,no
Am,MAR11261,Transport of Hexanoyl Carnitine,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR11316,Protoporphyrinogen Oxidase (Aerobic),Porphyrin metabolism,,0.0,0.0,0.0,yes,yes
Am,MAR11318,Proton Diffusion,Extracellular transport,,-1.087067891562819,0.78711166574328,1.8741795573060989,yes,yes
Am,MAR11357,"Transport of 3-(4-Hydroxyphenyl)Lactate, Mitochondrial",Mitochondrial transport,,0.0,0.0,0.0,yes,no
Am,MAR11400,Exchange of Fumarate,Exchange/demand reactions,,0.0457008305050838,0.0615065442598023,0.0158057137547184,no,yes
Am,MAR11403,Exchange of Glypro,Exchange/demand reactions,,-0.036513542845104,-0.0292108342760832,0.0073027085690208,no,no
Am,MAR11406,"Ferrochelatase, Cytosol",Porphyrin metabolism,,0.0,0.0,0.0,yes,yes
Am,MAR11414,Hydrolysis of Prolylglycine,Intracellular transport,,0.0292108342760832,0.036513542845104,0.0073027085690208,no,no
Am,MAR11424,Exchange of D-Glucuronate,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR11583,Transport of 1-Phosphatidyl-1D-Myo-Inositol,Extracellular transport,3.6.3.44;3.6.3.1,-0.0020638697535749,-0.0016510958028599,0.0004127739507149,no,yes
Am,MAR11756,"Transport of Trans-4-Coumarate, Extracellular",Extracellular transport,,0.0,0.666666666666667,0.666666666666667,yes,no
Am,MAR11787,Transport by Pcet into Extracellular Space,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR11823,Exchange of Trans-4-Coumarate,Exchange/demand reactions,,0.0,0.666666666666667,0.666666666666667,yes,no
Am,MAR11894,Transport of 13-Cis-Retinoate,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR11895,Exchange of 13-Cis-Retinoate,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR11896,Transport of 9-Cis-Retinoate,Extracellular transport,,0.0,0.0,0.0,yes,yes
Am,MAR11897,Exchange of 9-Cis-Retinoate,Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR11947,Exchange of Sphingosine,Exchange/demand reactions,,0.0138280601306217,0.0172850751632772,0.0034570150326554,no,yes
Am,MAR11953,"Exchange of 5,10-Methylenetetrahydrofolate",Exchange/demand reactions,,0.0,0.0,0.0,yes,yes
Am,MAR11973,Transport to Extracellular Space,Extracellular transport,,0.0,0.2995332104660282,0.2995332104660282,yes,yes
Am,MAR11974,"Exchange of D-Fructose 1,6-Bisphosphate",Exchange/demand reactions,,0.0,0.2995332104660282,0.2995332104660282,yes,yes
Am,MAR12040,Ceramide Diffusion,Sphingolipid metabolism,,0.0150663642785441,0.0188329553481801,0.003766591069636,no,yes
Am,MAR12127,Exchange of 1-Phosphatidyl-1D-Myo-Inositol,Exchange/demand reactions,,-0.0020638697535749,-0.0016510958028599,0.0004127739507149,no,yes
Am,MAR13086,Transport of RNA (n to c),Nuclear transport,,0.0,0.0,0.0,yes,yes
Am,MAR20137,MAR20137,Mitochondrial transport,,-732.803139426066,972.1694770583392,1704.9726164844053,yes,yes
Am,MAR20138,MAR20138,Mitochondrial transport,,-972.1651194711347,732.8083715549811,1704.973491026116,yes,yes
Am,MAR20139,MAR20139,Mitochondrial transport,,-0.0040732990225933,-0.0032586392179609,0.0008146598046323,no,yes
Am,MAR20148,MAR20148,Mitochondrial transport,,-0.4799819018580851,-0.2965037583117009,0.1834781435463841,no,yes
Am,MAR20156,MAR20156,Mitochondrial transport,,0.0009270639140141,0.0011588298925176,0.0002317659785035,no,yes
Am,MAR20161,MAR20161,Mitochondrial transport,,-0.0011588298925176,-0.0009270639140141,0.0002317659785035,no,yes
Am,MAR20164,MAR20164,Mitochondrial transport,,0.296402277707557,0.4798550511032431,0.1834527733956861,no,no
